ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
141,laliga,2016-09-11,17:15,Eibar @ Granada,Eibar,Granada,3.09,3.24,2.46,Granada,Eibar,0.493,Y,2,1,Eibar,3.09
142,laliga,2016-09-11,19:30,Athletic Bilbao @ Deportivo,Athletic Bilbao,Deportivo,2.22,3.26,3.53,Athletic Bilbao,Athletic Bilbao,0.422,N,1,0,Athletic Bilbao,2.22
143,serie-a,2016-09-11,19:45,Inter Milan @ Pescara,Inter Milan,Pescara,1.88,3.51,4.48,Inter Milan,Inter Milan,0.567,N,2,1,Inter Milan,1.88
144,premier-league,2016-09-12,20:00,Everton @ Sunderland,Everton,Sunderland,2.14,3.4,3.66,Everton,Everton,0.462,N,3,0,Everton,2.14
145,bundesliga,2016-09-16,19:30,Freiburg @ FC Koln,Freiburg,FC Koln,4.92,3.84,1.74,FC Koln,FC Koln,0.528,N,0,3,FC Koln,1.74
146,laliga,2016-09-16,19:45,Granada @ Real Betis,Granada,Real Betis,4.95,3.79,1.75,Real Betis,Real Betis,0.567,N,2,2,Draw,3.79
147,serie-a,2016-09-16,19:45,AC Milan @ Sampdoria,AC Milan,Sampdoria,2.4,3.29,3.13,AC Milan,AC Milan,0.42,N,1,0,AC Milan,2.4
148,ligue-1,2016-09-16,19:45,Paris SG @ Caen,Paris SG,Caen,1.42,4.79,7.78,Paris SG,Paris SG,0.56,N,6,0,Paris SG,1.42
149,premier-league,2016-09-16,20:00,Liverpool @ Chelsea,Liverpool,Chelsea,3.43,3.5,2.18,Chelsea,Chelsea,0.51,N,2,1,Liverpool,3.43
150,laliga,2016-09-17,12:00,FC Barcelona @ Leganes,FC Barcelona,Leganes,1.18,7.64,17.13,FC Barcelona,FC Barcelona,0.555,N,5,1,FC Barcelona,1.18
