ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
16,2016-10-15,00:00,New York Islanders @ Washington Capitals,New York Islanders,Washington Capitals,2.32,3.53,New York Islanders,Washington Capitals,0.722,Y,Washington Capitals,3.53
17,2016-10-15,01:00,New York Rangers @ St. Louis Blues,New York Rangers,St. Louis Blues,2.62,3.82,New York Rangers,New York Rangers,0.713,N,St. Louis Blues,3.82
18,2016-10-15,01:30,Nashville Predators @ Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,2.37,3.98,Nashville Predators,Chicago Blackhawks,0.652,Y,Chicago Blackhawks,3.98
19,2016-10-15,02:00,Philadelphia Flyers @ Arizona Coyotes,Philadelphia Flyers,Arizona Coyotes,2.53,3.85,Philadelphia Flyers,Philadelphia Flyers,0.552,N,Arizona Coyotes,3.85
20,2016-10-15,02:00,Dallas Stars @ Colorado Avalanche,Dallas Stars,Colorado Avalanche,4.19,1.74,Colorado Avalanche,Colorado Avalanche,0.549,N,Colorado Avalanche,1.74
21,2016-10-15,03:00,Calgary Flames @ Vancouver Canucks,Calgary Flames,Vancouver Canucks,2.45,2.45,,Vancouver Canucks,0.571,Y,Vancouver Canucks,2.45
22,2016-10-16,00:00,Buffalo Sabres @ Edmonton Oilers,Buffalo Sabres,Edmonton Oilers,3.17,3.84,Buffalo Sabres,Edmonton Oilers,0.68,Y,Buffalo Sabres,3.17
23,2016-10-16,03:00,Carolina Hurricanes @ Vancouver Canucks,Carolina Hurricanes,Vancouver Canucks,2.04,2.67,Carolina Hurricanes,Carolina Hurricanes,0.518,N,Vancouver Canucks,2.67
24,2016-10-16,23:00,Anaheim Ducks @ New York Islanders,Anaheim Ducks,New York Islanders,3.71,2.58,New York Islanders,Anaheim Ducks,0.56,Y,New York Islanders,2.58
25,2016-10-17,00:00,San Jose Sharks @ New York Rangers,San Jose Sharks,New York Rangers,2.65,3.87,San Jose Sharks,New York Rangers,0.74,Y,New York Rangers,3.87
26,2016-10-17,00:00,Colorado Avalanche @ Pittsburgh Penguins,Colorado Avalanche,Pittsburgh Penguins,3.88,2.31,Pittsburgh Penguins,Pittsburgh Penguins,0.71,N,Colorado Avalanche,3.88
27,2016-10-17,00:30,Ottawa Senators @ Detroit Red Wings,Ottawa Senators,Detroit Red Wings,2.34,2.99,Ottawa Senators,Detroit Red Wings,0.579,Y,Detroit Red Wings,2.99
28,2016-10-17,01:00,Boston Bruins @ Winnipeg Jets,Boston Bruins,Winnipeg Jets,4.01,2.08,Winnipeg Jets,Boston Bruins,0.624,Y,Boston Bruins,4.01
29,2016-10-18,00:00,Anaheim Ducks @ New Jersey Devils,Anaheim Ducks,New Jersey Devils,3.94,2.03,New Jersey Devils,New Jersey Devils,0.594,N,New Jersey Devils,2.03
30,2016-10-18,00:00,San Jose Sharks @ New York Islanders,San Jose Sharks,New York Islanders,2.29,3.16,San Jose Sharks,San Jose Sharks,0.594,N,San Jose Sharks,2.29
31,2016-10-18,00:00,Colorado Avalanche @ Washington Capitals,Colorado Avalanche,Washington Capitals,2.74,3.78,Colorado Avalanche,Washington Capitals,0.76,Y,Washington Capitals,3.78
32,2016-10-18,00:30,Pittsburgh Penguins @ Montreal Canadiens,Pittsburgh Penguins,Montreal Canadiens,3.95,2.07,Montreal Canadiens,Montreal Canadiens,0.694,N,Montreal Canadiens,2.07
33,2016-10-18,00:30,Arizona Coyotes @ Ottawa Senators,Arizona Coyotes,Ottawa Senators,2.17,3.03,Arizona Coyotes,Ottawa Senators,0.699,Y,Ottawa Senators,3.03
34,2016-10-18,00:30,Florida Panthers @ Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,2.9,3.87,Florida Panthers,Tampa Bay Lightning,0.662,Y,Tampa Bay Lightning,3.87
